식당 이름,식당 주소
설봄 방배동본점,서울 서초구 방배중앙로 172 1층
우리회포차 사당점,서울 동작구 사당로30길 148
남원추어탕,서울 동작구 동작대로15길 15
올레요회센터,서울 동작구 사당로30길 150
팬사이,서울 동작구 사당로30길 133 2층
온미정,서울 동작구 사당로29가길 46 1층
방배골숯불갈비,서울 서초구 동광로 7-4 1층
바른고기정육점 서래마을본점,"서울 서초구 동광로 80 정암빌딩 1,2층"
성림돼지,서울 서초구 서초대로24길 42
장수촌풍천장어직판장,서울 관악구 남부순환로 2082-37 2층
신셰프양꼬치&훠궈 남현동1호점,서울 관악구 남현3길 71
이수2정육식당,서울 동작구 동작대로27가길 36 1층
참소예 이수,서울 동작구 동작대로27다길 20 1층
강릉 교동짬뽕,서울 서초구 서초대로1길 23 1층
원당감자탕 사당점,"서울 서초구 방배천로4길 9 2,3층"
스타벅스 사당로데오점,서울 서초구 방배천로 5-4 1~4층
리요리요커피,서울 서초구 방배천로18길 11 아르떼상가 B동 104호
백소정 이수역점,서울 동작구 동작대로27길 12 2층
시너리(SCENERY),서울 동작구 사당로25가길 1 1층
한앤둘치킨호프 이수역직영점,서울 동작구 동작대로27가길 5
레코드피맥,서울 동작구 동작대로27다길 26 1층 101호
블랙모티브 사당역점,서울 동작구 동작대로7길 48 새한빌딩 1층
흑산도홍어,서울 서초구 방배천로 40-2
가가멜식당,서울 동작구 동작대로27다길 11 1층
신미경의정통춘천닭갈비,서울 서초구 방배로16길 11-3
야주포차,서울 동작구 동작대로7길 7
상아김밥 이수점,서울 서초구 서초대로 13 방배마에스트로 1동 1층 103호
바닷가,서울 동작구 동작대로13길 8 1층
목포낙지홍어,서울 동작구 사당로30길 161
타누키돈부리 이수역점,서울 동작구 동작대로27가길 14
금강산감자탕,서울 동작구 동작대로27길 6
맛있는뎅,서울 동작구 동작대로7길 21 1층
백옥미식성양꼬치마라탕전문점 방배점,서울 서초구 방배천로4안길 20
메가MGC커피 이수역점,서울 동작구 동작대로 89 골든시네마타워 1층 104호
이자카야나무 사당점,"서울 서초구 방배천로2길 25 2,3층"
찐네빵공장,서울 서초구 방배천로34길 3
만랩커피 이수역점,서울 서초구 서초대로 13 1동 1층 105호
육쌈냉면 이수점,서울 동작구 동작대로27다길 2
양평해장국,서울 서초구 방배중앙로 64 가이아빌딩 1층
서초면옥 본점,서울 서초구 동광로 97 1층
LA부대찌개,서울 서초구 효령로31길 90
만다린,서울 서초구 방배로23길 13 2층
봉평메밀마당 이수역점,서울 동작구 동작대로13길 6-3
탐라포차 이수역점,서울 동작구 동작대로27가길 44 1층
누룽지통닭굼터,서울 동작구 동작대로31길 5
도우룸,서울 서초구 동광로 99 2층
정정아식당 이수역점,서울 서초구 동작대로 108 방배디오슈페리움2차 1층
네꼬,서울 동작구 사당로30길 133
바다당,서울 서초구 방배천로4길 26 2층
카페아뜰리에,서울 서초구 방배천로4길 48 1층
마초셰프,서울 서초구 서초대로25길 8 1층
미스터힐링 이수역점,서울 동작구 동작대로27길 9 5층
양모리,서울 서초구 방배로 174 1층
푸슈,서울 서초구 서초대로19길 10-11 1층
BBQ 사당점,서울 동작구 동작대로9길 7
파아람,서울 서초구 동광로12길 120
바다회센타,서울 동작구 동작대로27길 20-7
이삭토스트 이수역점,서울 동작구 동작대로25길 40
조개랑통골뱅이,서울 동작구 동작대로25길 20
공차 이수점,서울 동작구 동작대로27길 14 1층
이슬도둑,서울 동작구 동작대로27가길 11 1층
싸다김밥 이수역점,서울 서초구 동작대로 90 인산타워 1층
코우엔,서울 서초구 방배천로22길 4 방배노블루체서리풀오피스텔 101동 102호
명인등심 방배점,서울 서초구 서초대로 87 1층
향미,서울 서초구 서초대로1길 12
이고집쭈꾸미 사당직영점,서울 서초구 방배천로2길 39-14
우탄,서울 서초구 서초대로1길 8 1층
경복궁함흥냉면,서울 동작구 동작대로27길 16-7
신채정샤브수끼칼국수,서울 동작구 동작대로27길 16-7 2층
반,서울 서초구 서초대로 13 방배마에스트로 지하1층 104호
아트메이저,서울 서초구 서초대로 114 1층
꼼 이수본점,"서울 동작구 동작대로27나길 21 두원상가 110,111호"
브로스키친,서울 서초구 방배천로18길 32 1층
정작가의막걸리집 2호점,서울 동작구 동작대로33가길 8
교촌치킨 사당1호점,서울 동작구 사당로23길 2 1층
강남동태찜,서울 서초구 방배천로2길 31 지상 2층
아티제 사당파스텔시티점,서울 서초구 방배천로 11 SK리더스뷰
일미칼국수,서울 서초구 방배중앙로 167
